,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.03442296981811523,0.0012663912006275007,0.00822763442993164,0.0018705656004297875,2,5,10,"{'max_depth': 2, 'max_features': 5, 'n_estimators': 10}",0.6354166666666666,0.6105263157894737,0.7368421052631579,0.6947368421052632,0.6947368421052632,0.6744517543859649,0.04544386696386121,378
1,0.05997037887573242,0.0018500985863374596,0.009758186340332032,0.0028391177371649857,2,5,20,"{'max_depth': 2, 'max_features': 5, 'n_estimators': 20}",0.65625,0.5894736842105263,0.7052631578947368,0.7052631578947368,0.6631578947368421,0.6638815789473684,0.04247392062805135,386
2,0.13715152740478515,0.005033014159245078,0.01148080825805664,0.0011943602647594635,2,5,50,"{'max_depth': 2, 'max_features': 5, 'n_estimators': 50}",0.6041666666666666,0.6,0.7263157894736842,0.6736842105263158,0.6526315789473685,0.651359649122807,0.04686879126830876,390
3,0.26102700233459475,0.0015112426211517705,0.015702247619628906,0.0009153927515359106,2,5,100,"{'max_depth': 2, 'max_features': 5, 'n_estimators': 100}",0.59375,0.6421052631578947,0.7263157894736842,0.6736842105263158,0.6526315789473685,0.6576973684210528,0.04317895025533107,388
4,0.4064962863922119,0.08326265954604128,0.01748995780944824,0.0036011069519062563,2,5,200,"{'max_depth': 2, 'max_features': 5, 'n_estimators': 200}",0.59375,0.6421052631578947,0.7263157894736842,0.6421052631578947,0.6421052631578947,0.6492763157894738,0.04283112008394633,391
5,0.7586205482482911,0.007192285888379486,0.030768299102783205,0.0010884711227052129,2,5,500,"{'max_depth': 2, 'max_features': 5, 'n_estimators': 500}",0.5833333333333334,0.5894736842105263,0.7473684210526316,0.6736842105263158,0.6631578947368421,0.6514035087719298,0.060518941834057746,389
6,1.827143383026123,0.39739269208966194,0.06525564193725586,0.011797032396458686,2,5,1000,"{'max_depth': 2, 'max_features': 5, 'n_estimators': 1000}",0.5625,0.5894736842105263,0.7263157894736842,0.6526315789473685,0.6631578947368421,0.6388157894736842,0.057789976989467785,392
7,0.020949888229370116,0.0007075174619343395,0.0044819355010986325,3.069424158730036e-05,2,10,10,"{'max_depth': 2, 'max_features': 10, 'n_estimators': 10}",0.59375,0.6210526315789474,0.7263157894736842,0.7263157894736842,0.7157894736842105,0.6766447368421054,0.057321474030606986,373
8,0.03573765754699707,0.0021945060783607226,0.005015850067138672,0.00011098122363156697,2,10,20,"{'max_depth': 2, 'max_features': 10, 'n_estimators': 20}",0.625,0.5789473684210527,0.7368421052631579,0.7052631578947368,0.6842105263157895,0.6660526315789473,0.0568347948515447,384
9,0.0848465919494629,0.004694633460406556,0.00668025016784668,0.00010892707981836662,2,10,50,"{'max_depth': 2, 'max_features': 10, 'n_estimators': 50}",0.625,0.5894736842105263,0.7684210526315789,0.7052631578947368,0.6947368421052632,0.6765789473684211,0.06298441085761089,376
10,0.16038599014282226,0.003435578692222487,0.011447763442993164,0.0025157390012828136,2,10,100,"{'max_depth': 2, 'max_features': 10, 'n_estimators': 100}",0.6145833333333334,0.6105263157894737,0.7789473684210526,0.6842105263157895,0.6526315789473685,0.6681798245614035,0.0615868347275411,383
11,0.31621599197387695,0.007885729181266768,0.014920854568481445,0.0004124950276095246,2,10,200,"{'max_depth': 2, 'max_features': 10, 'n_estimators': 200}",0.6354166666666666,0.6105263157894737,0.7684210526315789,0.6842105263157895,0.6736842105263158,0.6744517543859648,0.05391892346650673,379
12,0.7710025787353516,0.011563640339190866,0.034280586242675784,0.006200580040761197,2,10,500,"{'max_depth': 2, 'max_features': 10, 'n_estimators': 500}",0.6145833333333334,0.631578947368421,0.7684210526315789,0.6736842105263158,0.6947368421052632,0.6766008771929825,0.05411379620176316,374
13,1.8464020252227784,0.3380495176037208,0.08073897361755371,0.01849803820633614,2,10,1000,"{'max_depth': 2, 'max_features': 10, 'n_estimators': 1000}",0.6041666666666666,0.6210526315789474,0.7684210526315789,0.6736842105263158,0.7052631578947368,0.6745175438596491,0.05928169861521202,377
14,0.02176976203918457,0.0007437087620389154,0.004520130157470703,9.22599685494051e-05,2,15,10,"{'max_depth': 2, 'max_features': 15, 'n_estimators': 10}",0.6041666666666666,0.6421052631578947,0.7157894736842105,0.6631578947368421,0.6947368421052632,0.6639912280701754,0.03920974134776896,385
15,0.03859810829162598,0.00380057900243448,0.004938745498657226,5.9692242150248235e-05,2,15,20,"{'max_depth': 2, 'max_features': 15, 'n_estimators': 20}",0.6458333333333334,0.7052631578947368,0.7157894736842105,0.6736842105263158,0.6631578947368421,0.6807456140350877,0.026104561629887234,372
16,0.08324713706970215,0.0017911144010561114,0.006753063201904297,0.00012209215937263767,2,15,50,"{'max_depth': 2, 'max_features': 15, 'n_estimators': 50}",0.625,0.7157894736842105,0.7368421052631579,0.7157894736842105,0.7263157894736842,0.7039473684210527,0.040238210365362945,349
17,0.16394257545471191,0.005266581053709118,0.009790182113647461,0.0005535468027492683,2,15,100,"{'max_depth': 2, 'max_features': 15, 'n_estimators': 100}",0.6458333333333334,0.6842105263157895,0.7684210526315789,0.6842105263157895,0.6736842105263158,0.6912719298245613,0.041050476026779956,362
18,0.31899657249450686,0.005223207398889534,0.018227005004882814,0.005324175356622304,2,15,200,"{'max_depth': 2, 'max_features': 15, 'n_estimators': 200}",0.6354166666666666,0.6631578947368421,0.7684210526315789,0.6736842105263158,0.6842105263157895,0.6849780701754385,0.04477348430590756,371
